date,furnace,sensor_tag,sensor_type,value,unit,is_anomaly,anomaly_score
2023-01-01,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1607.272,°C,False,0.0
2023-01-01,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1833.32,mm,False,0.0
2023-01-01,SAF-01,SAF-01_POWER_MW,power_mw,38.09,MW,False,0.0
2023-01-01,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,59.711,%,False,0.0
2023-01-01,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,40.496,t,False,0.0
2023-01-01,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,89.117,%,False,0.0
2023-01-01,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1605.477,°C,False,0.0
2023-01-01,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1834.588,mm,False,0.0
2023-01-01,SAF-02,SAF-02_POWER_MW,power_mw,36.29,MW,False,0.0
2023-01-01,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,61.316,%,False,0.0
2023-01-01,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,37.561,t,False,0.0
2023-01-01,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,87.72,%,False,0.0
2023-01-02,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1617.316,°C,False,0.0
2023-01-02,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1831.166,mm,False,0.0
2023-01-02,SAF-01,SAF-01_POWER_MW,power_mw,36.317,MW,False,0.0
2023-01-02,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,65.08,%,False,0.0
2023-01-02,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,38.305,t,False,0.0
2023-01-02,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,89.109,%,False,0.0
2023-01-02,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1642.579,°C,False,0.0
2023-01-02,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1798.199,mm,False,0.0
2023-01-02,SAF-02,SAF-02_POWER_MW,power_mw,39.089,MW,False,0.0
2023-01-02,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,66.202,%,False,0.0
2023-01-02,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,40.675,t,False,0.0
2023-01-02,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,87.24,%,False,0.0
2023-01-03,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1631.713,°C,False,0.0
2023-01-03,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1800.596,mm,False,0.0
2023-01-03,SAF-01,SAF-01_POWER_MW,power_mw,38.253,MW,False,0.0
2023-01-03,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,65.255,%,False,0.0
2023-01-03,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,33.305,t,False,0.0
2023-01-03,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,87.648,%,False,0.0
2023-01-03,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1626.615,°C,False,0.0
2023-01-03,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1824.443,mm,False,0.0
2023-01-03,SAF-02,SAF-02_POWER_MW,power_mw,40.607,MW,False,0.0
2023-01-03,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,66.057,%,False,0.0
2023-01-03,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,37.431,t,False,0.0
2023-01-03,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,87.102,%,False,0.0
2023-01-04,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1589.339,°C,False,0.0
2023-01-04,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1851.238,mm,False,0.0
2023-01-04,SAF-01,SAF-01_POWER_MW,power_mw,38.543,MW,False,0.0
2023-01-04,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,61.499,%,False,0.0
2023-01-04,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,41.797,t,False,0.0
2023-01-04,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,88.804,%,False,0.0
2023-01-04,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1583.206,°C,False,0.0
2023-01-04,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1842.087,mm,False,0.0
2023-01-04,SAF-02,SAF-02_POWER_MW,power_mw,37.649,MW,False,0.0
2023-01-04,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,59.694,%,False,0.0
2023-01-04,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,34.51,t,False,0.0
2023-01-04,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,89.287,%,False,0.0
2023-01-05,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1619.114,°C,False,0.0
2023-01-05,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1834.405,mm,False,0.0
2023-01-05,SAF-01,SAF-01_POWER_MW,power_mw,35.849,MW,False,0.0
2023-01-05,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,62.281,%,False,0.0
2023-01-05,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,38.663,t,False,0.0
2023-01-05,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,88.024,%,False,0.0
2023-01-05,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1605.988,°C,False,0.0
2023-01-05,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1851.782,mm,False,0.0
2023-01-05,SAF-02,SAF-02_POWER_MW,power_mw,38.713,MW,False,0.0
2023-01-05,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,65.33,%,False,0.0
2023-01-05,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,36.321,t,False,0.0
2023-01-05,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,88.741,%,False,0.0
2023-01-06,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1627.408,°C,False,0.0
2023-01-06,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1883.963,mm,False,0.0
2023-01-06,SAF-01,SAF-01_POWER_MW,power_mw,38.973,MW,False,0.0
2023-01-06,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,64.527,%,False,0.0
2023-01-06,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,36.116,t,False,0.0
2023-01-06,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,87.221,%,False,0.0
2023-01-06,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1616.775,°C,False,0.0
2023-01-06,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1823.793,mm,False,0.0
2023-01-06,SAF-02,SAF-02_POWER_MW,power_mw,35.148,MW,False,0.0
2023-01-06,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,56.809,%,False,0.0
2023-01-06,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,41.377,t,False,0.0
2023-01-06,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,88.127,%,False,0.0
2023-01-07,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1670.901,°C,False,0.0
2023-01-07,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1827.618,mm,False,0.0
2023-01-07,SAF-01,SAF-01_POWER_MW,power_mw,39.149,MW,False,0.0
2023-01-07,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,62.71,%,False,0.0
2023-01-07,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,40.283,t,False,0.0
2023-01-07,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,88.26,%,False,0.0
2023-01-07,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1606.858,°C,False,0.0
2023-01-07,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1868.795,mm,False,0.0
2023-01-07,SAF-02,SAF-02_POWER_MW,power_mw,39.888,MW,False,0.0
2023-01-07,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,61.84,%,False,0.0
2023-01-07,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,40.692,t,False,0.0
2023-01-07,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,87.923,%,False,0.0
2023-01-08,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1624.857,°C,False,0.0
2023-01-08,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1846.787,mm,False,0.0
2023-01-08,SAF-01,SAF-01_POWER_MW,power_mw,40.629,MW,False,0.0
2023-01-08,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,66.437,%,False,0.0
2023-01-08,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,41.039,t,False,0.0
2023-01-08,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,88.73,%,False,0.0
2023-01-08,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1616.203,°C,False,0.0
2023-01-08,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1822.615,mm,False,0.0
2023-01-08,SAF-02,SAF-02_POWER_MW,power_mw,37.99,MW,False,0.0
2023-01-08,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,59.526,%,False,0.0
2023-01-08,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,39.009,t,False,0.0
2023-01-08,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,88.682,%,False,0.0
2023-01-09,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1625.096,°C,False,0.0
2023-01-09,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1845.798,mm,False,0.0
2023-01-09,SAF-01,SAF-01_POWER_MW,power_mw,41.078,MW,False,0.0
2023-01-09,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,62.457,%,False,0.0
2023-01-09,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,40.366,t,False,0.0
2023-01-09,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,86.911,%,False,0.0
2023-01-09,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1619.386,°C,False,0.0
2023-01-09,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1823.724,mm,False,0.0
2023-01-09,SAF-02,SAF-02_POWER_MW,power_mw,37.039,MW,False,0.0
2023-01-09,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,62.046,%,False,0.0
2023-01-09,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,39.276,t,False,0.0
2023-01-09,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,88.258,%,False,0.0
2023-01-10,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1644.3,°C,False,0.0
2023-01-10,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1829.625,mm,False,0.0
2023-01-10,SAF-01,SAF-01_POWER_MW,power_mw,37.226,MW,False,0.0
2023-01-10,SAF-01,SAF-01_OFF_GAS_CO_PCT,off_gas_co_pct,63.09,%,False,0.0
2023-01-10,SAF-01,SAF-01_TAP_WEIGHT_T,tap_weight_t,39.509,t,False,0.0
2023-01-10,SAF-01,SAF-01_CR_YIELD_PCT,cr_yield_pct,85.747,%,False,0.0
2023-01-10,SAF-02,SAF-02_TEMPERATURE_C,temperature_c,1590.593,°C,False,0.0
2023-01-10,SAF-02,SAF-02_ELECTRODE_POS_MM,electrode_pos_mm,1857.915,mm,False,0.0
2023-01-10,SAF-02,SAF-02_POWER_MW,power_mw,38.628,MW,False,0.0
2023-01-10,SAF-02,SAF-02_OFF_GAS_CO_PCT,off_gas_co_pct,61.053,%,False,0.0
2023-01-10,SAF-02,SAF-02_TAP_WEIGHT_T,tap_weight_t,41.479,t,False,0.0
2023-01-10,SAF-02,SAF-02_CR_YIELD_PCT,cr_yield_pct,88.137,%,False,0.0
2023-01-11,SAF-01,SAF-01_TEMPERATURE_C,temperature_c,1646.978,°C,False,0.0
2023-01-11,SAF-01,SAF-01_ELECTRODE_POS_MM,electrode_pos_mm,1849.641,mm,False,0.0
2023-01-11,SAF-01,SAF-01_POWER_MW,power_mw,39.575,MW,False,0.0
